Time (s),Flower 1 Angle (deg),Flower 2 Angle (deg),Flower 3 Angle (deg),Flower 4 Angle (deg)
10,218.4659615,316.1178246,312.1638123,321.1282804
20,218.826446,315.9805166,311.8435035,320.9964741
30,219.5775748,316.2605839,311.744482,320.865157
40,219.9427515,316.2544516,311.8435035,320.9964741
50,220.3099627,316.397181,311.8435035,320.865157
60,220.8150839,316.5330977,312.1533831,320.7582602
70,221.3208576,316.6683374,312.0535526,320.6273317
80,221.5587407,316.8116713,312.0535526,320.6273317
90,221.9335145,316.9461951,312.0535526,320.7582602
100,221.9197899,316.8116713,312.1638123,320.6273317
110,222.0412779,316.9461951,312.273689,320.6273317
120,222.1886264,317.0800462,312.4738831,320.2812406
130,222.5769026,317.2132282,312.273689,320.2812406
140,222.699175,317.3457445,312.4922983,320.4118692
150,222.9454271,317.4895529,312.3735944,320.5198463
160,222.9361803,317.7524854,312.3735944,320.3893118
170,223.3341493,318.0272452,312.4738831,320.7343279
180,223.0607032,317.7657618,312.692627,320.865157
190,223.3266666,318.5935662,312.692627,320.9715659
200,223.1858081,318.4640407,312.692627,320.9715659
210,223.3191164,318.7404062,312.7933644,320.8408375
220,223.3191164,318.8691846,312.7933644,320.9468631
230,223.4518423,318.8506388,313.0033411,320.8408375
240,223.7155565,318.9973034,312.9021914,320.7105931
250,223.4656585,318.9973034,312.7933644,320.8408375
260,223.2100894,318.8506388,312.7933644,320.6039854
270,222.8317077,319.1050985,313.111812,320.6039854
280,222.7195147,319.2515779,313.2133715,320.6039854
290,222.9726773,319.3777409,313.2133715,320.5808315
300,222.7493591,319.3777409,313.2133715,320.7105931
310,222.7493591,319.0856168,313.111812,320.4741282
320,222.8789036,319.6501848,313.3153157,320.8408375
330,222.3804512,319.5464834,313.4176461,320.5808315
340,222.2618535,319.6281375,312.9959929,320.6870534
350,222.0517493,319.6281375,313.2133715,320.6870534
360,221.5761288,319.8990925,313.4117993,320.8167181
370,221.3322119,319.5032596,313.2133715,320.8167181
380,221.1214755,319.6281375,313.3153157,321.2085985
