Frame,Time (s),Label 1 Distance (pixels/min),Label 2 Distance (pixels/min),Label 3 Distance (pixels/min),Label 4 Distance (pixels/min),Label 5 Distance (pixels/min),Label 6 Distance (pixels/min),Label 7 Distance (pixels/min),Label 8 Distance (pixels/min)
6,60,2.090533961,0.333333333,1.040440115,0.569035594,0.5,0.333333333,0.333333333,0.333333333
12,120,1.412022659,0.833333333,0.5,0.5,0,0.569035594,0.333333333,0.166666667
18,180,0.971404521,0.902368927,0.569035594,0.333333333,0.333333333,0.333333333,0.166666667,0.333333333
24,240,0.73570226,0.833333333,0.73570226,0.333333333,0.166666667,0,0.402368927,0.166666667
30,300,0.5,0.5,0.402368927,0.402368927,1.040440115,0,0.333333333,0
36,360,0.5,0.666666667,0.333333333,0.333333333,0.23570226,0.569035594,0.333333333,0
42,420,0.569035594,0.333333333,0.333333333,0.775046923,0.5,0,0,0
48,480,0.902368927,0.5,0.23570226,0.73570226,0,0,0.666666667,0
54,540,0.166666667,0.402368927,1.304737854,0.73570226,0,0,0,0
60,600,0.666666667,0.23570226,0.5,0.23570226,0.333333333,0.333333333,0,0.569035594
66,660,0.569035594,0.73570226,1.069035594,0.666666667,0.5,0,0.166666667,0
72,720,0.402368927,0.402368927,0.5,0.402368927,0.666666667,0,0,0
78,780,0.5,0.333333333,0.833333333,0.902368927,0.73570226,0.166666667,0,0
84,840,1,1.17741585,0.775046923,1.166666667,0.569035594,0.166666667,0.833333333,1.039344663
90,900,1.069035594,1.108380257,1.23570226,1.108380257,0,0.333333333,0.5,0.402368927
96,960,1.304737854,2.986801897,1.482153704,1.910473457,0.402368927,0.23570226,0.971404521,1.108380257
102,1020,0.73570226,0.971404521,0.638071187,1.58943851,0.333333333,0.333333333,0.402368927,0
108,1080,0.666666667,0.73570226,0.471404521,1.527046277,0.166666667,0.166666667,0.333333333,0.402368927
114,1140,0.833333333,1.344082517,1.138071187,1.429415204,0.166666667,0.569035594,0.73570226,0.333333333
120,1200,0.73570226,1.666666667,1.331784131,2.155944138,1.069035594,0.539344663,1.069035594,1.23570226
126,1260,0.569035594,0.971404521,0.775046923,0.666666667,0.833333333,0,0.333333333,0.333333333
132,1320,0.5,3.654850356,2.051189298,0.902368927,0.166666667,0.569035594,0.333333333,0.333333333
138,1380,0.402368927,8.365361876,1.069035594,1,0.333333333,0.166666667,0.5,0.166666667
144,1440,0.166666667,1.275046923,0.569035594,0.666666667,0.166666667,0,0.333333333,0.166666667
150,1500,0.333333333,0.5,0.666666667,0.569035594,0.569035594,0.166666667,0.333333333,0.166666667
156,1560,0.166666667,0.73570226,0.5,0.333333333,0.166666667,0,0.166666667,0.333333333
162,1620,0.166666667,0.402368927,0.23570226,0.73570226,0.333333333,0.166666667,0.333333333,0.5
168,1680,0,0.166666667,0.73570226,1.108380257,0.166666667,0,0.333333333,0.166666667
174,1740,0.166666667,0.333333333,0.402368927,0.569035594,0.166666667,0,0.166666667,0.166666667
180,1800,0.333333333,0.5,0.333333333,1.108380257,0.333333333,0,0.166666667,0.166666667
186,1860,0.666666667,0.638071187,0.804737854,1.20601133,0,0,0.333333333,0
192,1920,0.333333333,0.73570226,0.5,0.73570226,0,0.5,0,0
198,1980,0.569035594,0.333333333,0.5,0.333333333,0,0.666666667,0.666666667,0
204,2040,0.707106781,0.166666667,0.666666667,0.5,0,0.5,0,0
210,2100,0.166666667,0.402368927,0.833333333,0.333333333,0.5,0.166666667,0.166666667,0
216,2160,0.666666667,0.5,0.666666667,0.833333333,0.666666667,0.333333333,0.402368927,0
222,2220,0.971404521,0.333333333,0.5,0.5,0.333333333,0,0.166666667,0
228,2280,0.902368927,1.795564528,1.039344663,1.36037961,0.666666667,0.5,0.902368927,0.833333333
234,2340,0.569035594,0.94171359,1.20601133,0.73570226,1,0.666666667,1.166666667,0.23570226
240,2400,0.5,0.5,0.333333333,0.333333333,0.333333333,0.166666667,0.638071187,0.333333333
246,2460,0.569035594,0.638071187,0.804737854,1.520517604,0.666666667,0.166666667,0.608380257,0
252,2520,0.569035594,0.333333333,0.569035594,0.166666667,0,0.666666667,0,0.569035594
258,2580,1,1.069035594,0.73570226,0.569035594,0.833333333,0.775046923,0.5,0.73570226
264,2640,0.333333333,0.333333333,0.333333333,0.166666667,0,0.333333333,0.402368927,0.166666667
270,2700,0.5,0.166666667,0.5,0.333333333,0,0.5,0.166666667,0
276,2760,0.333333333,0.333333333,0.971404521,0.333333333,0,0,0.333333333,0.569035594
282,2820,0.5,0.666666667,0.5,0.333333333,0,0,0.333333333,0
288,2880,0.166666667,0.5,1.138071187,0.5,0,0,0.5,0
294,2940,0.166666667,0.666666667,0.73570226,0.666666667,0,0,0.833333333,0.166666667
300,3000,0.73570226,0.5,0.902368927,0.666666667,0.666666667,0,0,0
306,3060,0.166666667,0.971404521,0.971404521,0.5,0.166666667,0,0.166666667,0.666666667
312,3120,0.73570226,0.333333333,0.166666667,0.333333333,0.333333333,0,0.833333333,0.333333333
318,3180,0.804737854,0.5,1.069035594,1.069035594,0.333333333,0.166666667,0,0.333333333
324,3240,0,1.108380257,1.108380257,0.569035594,0,0.166666667,0.166666667,0.333333333
330,3300,0.333333333,1.207106781,0.73570226,0.333333333,0.666666667,0.333333333,0.166666667,0.666666667
336,3360,0.666666667,2.110070802,1.902368927,0.5,0.333333333,0.333333333,0,0
342,3420,0.833333333,0.333333333,1,0.5,1,0.666666667,0.333333333,0
348,3480,0.402368927,3.376337853,2.639274152,0,0.166666667,0.333333333,0.5,0
354,3540,0.333333333,2.563041718,1.527046277,0.5,0.166666667,0,0.166666667,0.166666667
360,3600,0.5,1.027046277,0.902368927,0.569035594,0,0.333333333,0.166666667,0.166666667
366,3660,0.402368927,2.121328128,2.010749184,0.166666667,0.5,0,0,0
372,3720,0.333333333,0.873773448,0.73570226,0.333333333,0,0.5,0.166666667,0.5
378,3780,0.569035594,0.94171359,0.872677996,0.166666667,0,0,0,0.333333333
384,3840,0.666666667,0.402368927,1.315487038,0.5,0.166666667,0.166666667,0.166666667,0.5
390,3900,0.73570226,0.666666667,1.648820371,0.333333333,0.5,0.333333333,0.333333333,0
396,3960,0.333333333,1.345177969,1.138071187,0.5,0.5,0.166666667,0,0
402,4020,0.333333333,0.775046923,1.413118111,0.333333333,0.333333333,0,0,0.166666667
408,4080,0.666666667,14.53330739,9.200472847,0.902368927,0.5,0.833333333,1.040440115,0.402368927
414,4140,0.166666667,1.275046923,0.94171359,0.23570226,0.333333333,0.5,0.707106781,0.333333333
420,4200,0.569035594,4.480604502,1.569035594,1.207106781,1,0.539344663,0.666666667,0.70601133
426,4260,0.873773448,9.036145168,5.983929823,0,1.138071187,0,0.5,0.5
432,4320,0.166666667,3.882180032,1.207106781,0.73570226,0.5,0.666666667,0.166666667,0.166666667
438,4380,0.833333333,4.860125623,1.069035594,0.73570226,0.166666667,0.166666667,0.166666667,0.166666667
444,4440,0.166666667,2.093437216,1.207106781,1,0,0.833333333,0.166666667,0
450,4500,0.333333333,2.031266788,1.138071187,0.5,0,0.5,0,0
456,4560,0.333333333,1.734153058,1.498450797,0.333333333,0.166666667,0.833333333,0.333333333,0.166666667
462,4620,0,0.872677996,0.833333333,0.666666667,0.5,0.333333333,0.5,0
468,4680,2.23570226,3.122005771,0.804737854,1.636222967,0.333333333,0.166666667,0.70601133,0.23570226
474,4740,0.402368927,0.333333333,0.902368927,0.569035594,0.333333333,0.333333333,0.402368927,0
480,4800,0.666666667,1.275046923,0.333333333,0.804737854,0.166666667,0,0.804737854,0.166666667
486,4860,0.5,0.569035594,0.804737854,0.73570226,0.166666667,0.166666667,0.5,0.666666667
492,4920,0.73570226,0.333333333,0.5,0.833333333,0.166666667,0.23570226,0,1.17741585
498,4980,0.5,0.333333333,0.569035594,0.5,0.5,0.402368927,0.166666667,1.854831701
504,5040,0.569035594,0.166666667,0.666666667,0.73570226,0.333333333,0.166666667,0,1.785796107
510,5100,0.333333333,0.73570226,0.166666667,1.069035594,0.569035594,0.402368927,0.166666667,2.532247551
516,5160,0.5,0.402368927,0.333333333,0.569035594,0.666666667,0.638071187,0,2.623519032
522,5220,1.069035594,0.5,0.333333333,0.902368927,0.333333333,0.5,0.166666667,2.433521027
528,5280,0.971404521,0.5,0.5,0.902368927,0.166666667,0.73570226,8.153049872,2.116484786
534,5340,0.902368927,5.587594663,0.608380257,1.23570226,0.94171359,1.550093847,3.232622163,3.983414898
540,5400,0.666666667,2.826494823,0.333333333,0.666666667,0.73570226,1.315487038,0.333333333,2.157378652
546,5460,0.333333333,0.333333333,0.333333333,0.333333333,0.804737854,1.482153704,0.569035594,1.912022659
552,5520,0.569035594,1.344082517,0.5,0.333333333,0.873773448,0.804737854,0.666666667,0.94171359
558,5580,0.902368927,2.236351746,0.5,0.569035594,0.707106781,0.73570226,0.402368927,1.246451444
564,5640,0.94171359,1.824045318,0.166666667,0.902368927,0.5,0.73570226,0.5,0.333333333
570,5700,0.971404521,1.304737854,0.775046923,0.73570226,0.402368927,0.73570226,0.5,0.23570226
576,5760,0.666666667,1.413118111,0.166666667,0.666666667,0.666666667,0.5,0.666666667,0.333333333
582,5820,0.833333333,0.73570226,0.638071187,0.5,0.569035594,0,0.5,0.666666667
588,5880,0.833333333,0.166666667,0.166666667,0.5,0.166666667,0.23570226,0.333333333,0
594,5940,1.373773448,0.166666667,0.166666667,0.5,0.166666667,0.5,0.5,0.73570226
600,6000,1.64772492,0.569035594,0.666666667,0.569035594,0.5,0.804737854,0.166666667,0.5
606,6060,4.973346095,0.402368927,0,0.333333333,0.638071187,1.109475708,0.5,0.333333333
612,6120,2.299448546,0.569035594,0.166666667,0.333333333,0.707106781,1.276142375,0,0.402368927
618,6180,1.23570226,0.333333333,0.166666667,0.5,0.638071187,1.276142375,0,0.5
624,6240,1.745355992,0.402368927,0.666666667,0.5,0.638071187,1.109475708,0.333333333,0.333333333
630,6300,1.040440115,0.5,0.166666667,0.5,0.971404521,1.276142375,0,0.569035594
636,6360,0.402368927,0.5,0.166666667,0.5,0.804737854,0.971404521,1.138071187,0.23570226
642,6420,0.638071187,0.166666667,0.166666667,0.569035594,0.971404521,0.873773448,0,0.666666667
648,6480,0.902368927,0.402368927,0,0.666666667,0.73570226,0.707106781,0.333333333,0.569035594
654,6540,0.402368927,0.166666667,0.5,0.5,0.569035594,0.804737854,0.166666667,0.333333333
660,6600,0.333333333,0.666666667,0.471404521,0.73570226,0.569035594,0.833333333,0.333333333,0.569035594
666,6660,0.73570226,0.569035594,0.333333333,0.666666667,0.569035594,0.569035594,0,0.5
672,6720,0.666666667,0.166666667,0.73570226,0.73570226,0.569035594,0.666666667,0.333333333,0.638071187
678,6780,1.405663067,0.73570226,0.666666667,1,0.70601133,1.412022659,0.539344663,0.775046923
684,6840,1.23570226,0.569035594,1.207106781,0.638071187,1.108380257,2.105735603,0.539344663,0.804737854
