Frame,Time (s),Point 1 (x),Point 1 (y),Point 2 (x),Point 2 (y),Point 3 (x),Point 3 (y),Point 4 (x),Point 4 (y),Point 5 (x),Point 5 (y),Point 6 (x),Point 6 (y),Point 7 (x),Point 7 (y),Point 8 (x),Point 8 (y),Point 9 (x),Point 9 (y),Point 10 (x),Point 10 (y),Point 11 (x),Point 11 (y),Point 12 (x),Point 12 (y),Point 13 (x),Point 13 (y),Point 14 (x),Point 14 (y),Point 15 (x),Point 15 (y),Point 16 (x),Point 16 (y)
1,10.0,183,181,284,214,360,298,889,74,764,149,722,212,934,202,821,252,748,370,1160,274,1027,330,962,408,1095,514,1054,587,528,843,985,725
2,20.0,184,180,285,214,360,298,889,74,763,149,722,212,935,201,820,252,749,370,1160,273,1027,330,962,408,1095,513,1054,587,528,843,985,725
3,30.0,186,179,286,214,360,299,890,74,763,150,722,212,934,200,821,252,749,370,1160,273,1027,329,962,408,1095,514,1054,587,528,843,985,725
4,40.0,188,177,286,213,360,298,890,74,764,149,722,212,934,201,821,252,749,370,1160,273,1027,330,962,408,1095,513,1054,586,528,842,985,725
5,50.0,189,177,287,214,360,299,891,74,763,150,722,212,934,201,821,252,749,370,1160,273,1027,329,962,408,1095,513,1054,586,528,842,985,724
6,60.0,191,175,287,214,360,299,891,74,764,150,722,212,935,202,821,253,749,370,1159,273,1027,329,962,408,1095,513,1054,586,528,842,985,724
7,70.0,193,174,287,213,360,299,892,74,764,150,722,212,935,201,821,253,749,370,1159,272,1027,329,962,408,1095,513,1054,586,528,842,986,724
8,80.0,194,174,288,213,360,299,892,75,764,150,722,212,935,201,821,253,749,370,1159,272,1027,329,962,408,1095,513,1055,586,529,842,986,724
9,90.0,196,173,288,213,360,299,893,75,764,150,722,212,935,202,821,252,749,370,1159,273,1027,329,962,408,1095,513,1054,585,529,842,986,724
10,100.0,197,173,288,212,360,298,894,75,764,150,723,212,935,202,822,252,749,370,1159,272,1027,329,962,408,1095,513,1055,585,529,841,986,724
11,110.0,197,172,289,213,360,298,894,75,765,150,723,212,936,202,822,252,749,370,1159,272,1027,329,962,408,1095,513,1055,585,529,841,986,724
12,120.0,198,172,289,213,361,299,895,75,765,150,723,212,936,202,822,252,749,369,1159,272,1027,328,963,408,1095,513,1055,585,529,841,986,724
13,130.0,199,171,289,212,361,299,896,75,765,150,723,212,936,202,822,252,749,370,1159,272,1027,328,963,408,1095,513,1055,585,529,841,986,723
14,140.0,199,170,290,213,361,299,897,75,765,150,723,212,937,202,823,252,749,370,1159,272,1027,329,963,408,1095,513,1055,584,529,841,986,723
15,150.0,200,170,291,213,361,299,897,76,765,150,723,212,937,202,823,253,750,370,1159,272,1028,329,963,408,1095,513,1055,584,529,841,987,723
16,160.0,201,169,291,213,361,298,898,76,766,150,723,212,937,203,823,252,750,370,1159,272,1028,328,963,408,1095,513,1056,584,529,841,987,723
